focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
exercise-induced bronchoconstriction,intrinsic asthma,True,An intrinsic asthma that is characterized by narrowing of the airways during or shortly after exercise.,A chronic asthma that is triggered by factors not attributable to allergies.
tuberculous salpingitis,fallopian tube disease,True,An urogenital tuberculosis that results in formation of granulomas located in fallopian tube.,A female reproductive system disease that is located in the fallopian tube.
buphthalmos,hydrophthalmos,True,"A hydrophthalmos characterized by early onset glaucoma in one or both eyes with elevated intraocular pressure, increased corneal diameter, and swelling of the globe and has symptom early vision loss, photophobia, blepharospasm, tearing, increased corneal diameter, increased corneal thickness, and enlarged globe. Buphthalmos is caused by severe congenital defects of the trabecular meshwork and anterior chamber angle that block aqueous outflow and raises intraocular pressure, leading to optic nerve atrophy and early vision loss.","A primary congenital glaucoma characterized by early onset glaucoma in one or both eyes with elevated intraocular pressure and increased corneal diameter and has symptom early vision loss, increased corneal diameter, and increased corneal thickness. Hydrophthalmus is caused by congenital defects of the trabecular meshwork and anterior chamber angle that block aqueous outflow and raises intraocular pressure, leading to optic nerve atrophy and early vision loss."
diabetes mellitus,glucose metabolism disease,True,"A glucose metabolism disease that is characterized by chronic hyperglycaemia with disturbances of carbohydrate, fat and protein metabolism resulting from defects in insulin secretion, insulin action, or both.",A carbohydrate metabolic disorder that is characterized by blood glucose levels which cannot be maintained within the normal range.
basidiobolomycosis,subcutaneous mycosis,True,"A subcutaneous mycosis that involves a chronic inflammatory or granulomatous fungal infection of the subcutaneous tissue of the limbs, chest, back or buttocks caused by Basidiobolus ranarum. Lesions appear as subcutaneous nodules which develop into massive, firm, indurated, painless swellings which are freely movable over the underlying muscle, but are attached to the skin which may become hyperpigmented but not ulcerated.","A fungal infectious disease that results in infection located in skin or located in subcutaneous tissue, has material basis in Fungi, which penetrate the dermis or even deeper during or after a skin trauma."
orotic aciduria,pyrimidine metabolic disorder,True,A pyrimidine metabolic disorder that is characterized by an excessive secretion of orotic acid in urine.,An inherited metabolic disorder involving dysfunction of pyrimidine metabolism.
Kufor-Rakeb syndrome,early-onset Parkinson's disease,True,"An early-onset Parkinson's disease that is characterized by supranuclear gaze palsy, spasticity, and dementia and has material basis in homozygous or compound heterozygous mutation in a lysosomal type 5 ATPase encoding gene on chromosome 1p36.","A Parkinson's disease characterized by onset of motor symptoms earlier than typically seen, usually prior to 50 years of age."
nickel allergic asthma,metal allergy,True,An allergic asthma that has allergic trigger nickel atom.,An allergic disease that is triggered by a metal.
lateral medullary syndrome,brain stem infarction,True,"A brain stem infarction that is characterized by hoarseness, dizziness, nausea, located in the lateral part of the medulla oblongata that develops from a blockage in the posterior inferior cerebellar artery or one of its branches or of the vertebral artery, has symptom vertigo, has symptom ipsilateral cerebellar signs, has symptom contralateral sensory deficits of limbs and torso, has symptom ipsilateral sensory deficits of face, has symptom laryngeal, pharyngeal, and palatal hemiparalysis, has symptom ipsilateral Horner's syndrome.","A brain infarction that is characterized by stroke of the brain stem that develops from blockage or narrowing in the arteries located in the brainstem, has material basis in damage to the cranial nerve nuclei and long tracts, has symptom vertigo, has symptom imbalance, has symptom decreased level of arousal."
pilocytic astrocytoma,childhood low-grade glioma,True,A childhood low-grade glioma that is characterized by cells that look like fibers when viewed under a microscope and is located in the brain.,"A low-grade glioma that occurs in children and encompasses tumors of astrocytic, oligodendroglial, and mixed glial-neuronal histology."
cervix carcinoma,cervical cancer,True,A cervical cancer that is located in the cervix uteri or located in the cervical area and that has material basis in abnormally proliferating cells derives from epithelial cells.,A female reproductive organ cancer that is located in the cervix.
Becker disease,myotonia congenita,True,A myotonia congenita that is characterized by muscle stiffness and an inability of the muscle to relax after voluntary contraction and that has material basis in homozygous or compound heterozygous mutation in the gene encoding skeletal muscle chloride channel-1 (CLCN1) on chromosome 7q34.,A muscle tissue disease that is characterized by slow muscle relaxation associated with hyperexcitation of the muscle fibres.
adult-onset Still's disease,rheumatoid arthritis,True,"A rheumatoid arthritis that is characterized by high fevers, rash, sore throat and joint pain.",An arthritis that is an autoimmune disease which attacks healthy cells and tissue located in joint.
dyschromatosis symmetrica hereditaria,pigmentation disease,True,"A pigmentation disease characterized by progressively pigmented and depigmented macules, often mixed in a reticulate pattern, concentrated on the dorsal extremities.",A skin disease that is characterized by discoloration of the skin.
alopecia,hypotrichosis,True,A hypotrichosis that is characterized by a loss of hair from the head or body.,"A hair disease that is characterized by sparse hair on the scalp resulting from abnormal hair follicle development and has material basis in mutations in proteins involved in hair growth, division or proliferation of cells within hair follicles."
mucosulfatidosis,sphingolipidosis,True,"A sphingolipidosis that is characterized by leukodystrophy, ichthyosis, skeletal abnormalities and shortened life expectancy and has material basis in mutation in the SUMF1 gene that results in deficiency in multiple sulfatase enzymes.",A lipid storage disease characterized by functional deficiencies in the enzymes needed for lysosomal degradation of sphingolipid substrates.
poliomyelitis,peripheral nervous system disease,True,"A viral infectious disease that results in destruction located in motor neurons, has material basis in Human poliovirus 1, has material basis in Human poliovirus 2, or has material basis in Human poliovirus 3, which are transmitted by ingestion of food or water contaminated with feces, or transmitted by direct contact with the oral secretions. The infection has symptom fever, has symptom sore throat, has symptom headache, has symptom vomiting, has symptom fatigue, has symptom neck stiffness, has symptom muscle spasms, and has symptom acute flaccid paralysis.",A nervous system disease that affects the peripheral nervous system.
agraphia,writing disorder,True,"An acquired writing disorder causing a loss in the ability to communicate through writing, either due to some motor dysfunction or the inability to spell.","A learning disability that involves impaired written language ability such as impairments in handwriting, spelling, organization of ideas, and composition."
benign mesothelioma,angiomyolipoma,True,A cell type benign neoplasm that has material basis in mesothelium.,"A cell type benign neoplasm that is primarily located in the kidneys but may be found in the lungs, liver or other organs and is derived from perivascular epithelioid cells."
neuromuscular disease,neuropathy,True,A neuropathy that affect the nerves that control the voluntary muscles.,A nervous system disease that is located in nerves or nerve cells.
bile reflux,biliary tract disease,True,A biliary tract disease characterized by the flow of bile up into the stomach and/or esophagus.,A hepatobiliary disease that is located in the biliary tract.
adenoiditis,upper respiratory tract disease,True,"An upper respiratory tract disease which involves inflammation, pain, and swelling of the adenoid tissue due to the infection by bacteria and viruses. It occurs primarily in children and may be secondary to an allergy, infection of nose or throat and an obstruction of the eustachian tube. The infection has symptom pain, has symptom redness, has symptom swelling, and has symptom difficulty swallowing.",A respiratory system disease which involves the upper respiratory tract.
Loeffler endocarditis,restrictive cardiomyopathy,True,"A restrictive cardiomyopathy that affects the endocardium and occurs with white blood cell proliferation, specifically of eosinophils.","An intrinsic cardiomyopathy characterized by impaired ventricular filling, with normal or decreased diastolic volume of either or both ventricles typically resulting from increased stiffness of the myocardium."
pancytopenia,anemia,True,"An anemia that is characterized by a reduction in the number of red blood cells, white blood cells, and platelets.",A hematopoietic system disease that is characterized by a decrease in the normal number of red blood cells.
philophthalmiasis,eye disease,True,A parasitic helminthiasis infectious disease that involves parasitic infection of the eyes by Philophthalmus species. External ocular philophthalmiasis manifests as follicular conjunctivitis and superficial keratitis. Sub-conjunctival ocular philophthalmiasis consists of a mild edema with minimal cellular reaction.,An eye and adnexa disease that is located in the eye.
herpetic whitlow,herpes simplex,True,"A herpes simplex that results in infection located in skin of the finger, toe, or thumb, has material basis in Human herpesvirus 1 and has material basis in Human herpesvirus 2 and has symptom lesions, has symptom fever, and has symptom swollen lymph nodes.","A viral infectious disease that results in formation of lesions, located in mouth, located in face, located in genitalia, or located in hands, has material basis in Human herpesvirus 1 or has material basis in Human herpesvirus 2, which are transmitted by direct contact with an active lesion or body fluid of an infected person."
overnutrition,nutrition disease,True,"A nutrition disease that is characterized by an excess of a nutritional element, such as a vitamin, mineral, carbohydrate, protein, fat, or general energy content.","An acquired metabolic disease that is characterized by an insufficient intake of food or of certain nutrients, by an inability of the body to absorb and use nutrients, or by overconsumption of certain foods."
granulomatosis with polyangiitis,autoimmune disease of blood,True,"An autoimmune disease that is characterized by necrotizing granulomatous inflammation of the upper and lower respiratory tract, glomerulonephritis, vasculitis, and the presence of antineutrophil cytoplasmatic autoantibodies (ANCAs) in patient sera, and is located in lung, located in kidney, located in skin resulting from an autoimmune attack by antineutrophil cytoplasmic antibodies against small and medium-size blood vessels.",An autoimmune disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the blood.
gastric leiomyoma,gastrointestinal system benign neoplasm,True,"A gastrointestinal system benign neoplasm that is characterized by the presence of spindle cells with cigar-shaped nuclei, interlacing fascicles, and a whorled pattern.",An organ system benign neoplasm located in gastrointestinal tract organs.
eustachian tube disease,otosalpingitis,False,"A non-suppurative otitis media and eustachian tube disorder in which the tube is either too narrow or too wide. It can also be caused by nasal inflammation which leads to inflammatory swelling and obstruction of the eustachian tube, which, in turn, leads to increased negative pressure in the middle ear and improper ventilation.","A eustachian tube disorder which involves inflammation of the mucous membrane of the cartilagenous portion of the eustachian tube caused by acute nasopharyngitis, infection from some pathogenic microbes or trauma of the tube."
hereditary sensory neuropathy,Riley-Day syndrome,False,"A neuropathy characterized by congenital insensitivity to pain resulting in ulceration to the fingers, tongue, lips, and other distal appendages.","A hereditary sensory neuropathy that is characterized by gastrointestinal dysfunction, gastroesophageal reflux, vomiting crises, recurrent pneumonia, seizures, gait abnormalities with loss of ambulation, kyphoscoliosis, postural hypotension, hypertension crises, absence of fungiform papillae on the tongue, decreased deep tendon reflexes, defective lacrimation, and impaired pain and temperature perception and has material basis in homozygous or compound heterozygous mutation in the IKBKAP gene (ELP1) on chromosome 9q31."
spotted fever,Indian tick typhus,False,"A primary bacterial infectious disease that results in infection, located in endothelial cell of artery or located in endothelial cell of vein, has material basis in Rickettsia, which is transmitted by ticks and mites. The infection has symptom fever, has symptom headache, has symptom fatigue, has symptom muscle aches, and has symptom maculopapular or petechial rash. A distinctive eschar (blackened or crusted skin) may develop at the site of a tick bite.","A spotted fever that has material basis in Rickettsia conorii subsp indica, which is transmitted by ticks (Rhipicephalus sanguineus). The infection has symptom fever, has symptom eschar, has symptom regional adenopathy, and has symptom maculopapular rash on extremities."
dysostosis,brachydactyly,False,A bone development disease that results in defective ossification of bone.,A dysostosis characterized by short fingers and toes.
metal metabolism disorder,acrodermatitis enteropathica,False,An inherited metabolic disorder that involves metabolic disturbances in the processing or distribution of dietary minerals.,"A metal metabolism disorder characterized by dermatitis around bodily openings and the tips of fingers and toes, alopecia and diarrhea and has material basis in mutation in the SLC39A4 gene that encodes a zinc uptake protein and results in zinc deficiency."
congenital myopathy,early-onset myopathy-areflexia-respiratory distress-dysphagia syndrome,False,"A myopathy that is characterized by hypotonia and weakness, usually present from birth.","A congenital myopathy characterized by proximal and generalized muscle weakness, respiratory difficulties, joint contractures, and scoliosis that has material basis in homozygous or compound heterozygous mutation in MEGF10 on chromosome 5q23.2."
cranial nerve disease,jaw-winking syndrome,False,A neuropathy that is located in one of the twelve cranial nerves.,A cranial nerve disease characterized by unilateral congenital ptosis and rapid exaggerated elevation of the ptotic lid on moving of the lower jaw.
autism spectrum disorder,Asperger syndrome,False,"A pervasive developmental disorder that is a spectrum of psychological conditions. The disease has symptom widespread abnormalities of social interactions and communication, has symptom severely restricted interests and has symptom highly repetitive behavior.","An autism spectrum disorder that is characterized by significant difficulties in social interaction, along with restricted and repetitive patterns of behavior and interests. It differs from other autism spectrum disorders by its relative preservation of linguistic and cognitive development."
uterine adnexa cancer,broad ligament malignant neoplasm,False,A uterine cancer that is located in the adnexa.,A uterine adnexa cancer that is located in the broad ligament.
Brody myopathy,muscular dystrophy,False,A neuromuscular disease is characterized by difficulty relaxing muscles and muscle stiffness following exercise or other strenuous activity and is located in skeletal muscles.,A myopathy is characterized by progressive skeletal muscle weakness degeneration.
xeroderma pigmentosum,De Sanctis-Cacchione syndrome,False,A syndrome that is characterized by a deficiency in the ability to repair ultraviolet damage that has material basis in autosomal recessive inheritance of DNA repair.,"A xeroderma pigmentosum characterized by xeroderma pigmentosum, short stature, intellectual disabilities, and progressive neurologic degeneration."
placenta cancer,choriocarcinoma,False,A female reproductive organ cancer that is located in the placenta.,A placenta cancer that has material basis in trophoblastic cells.
autosomal recessive disease,bradyopsia,False,"An autosomal genetic disease that is characterized by the presence of two mutated copies of the gene, both of which must be present in order for the disease or trait to develop.",A retinal disease characterized by the slower than usual adaptation of the eyes to changing light conditions.
malaria,blackwater fever,False,"A parasitic protozoa infectious disease characterized as a vector-borne infectious disease caused by the presence of protozoan parasites of the genus Plasmodium in the red blood cells, transmitted from an infected to an uninfected individual by the bite of anopheline mosquitoes, and characterized by periodic attacks of chills and fever that coincide with mass destruction of blood cells and the release of toxic substances by the parasite at the end of each reproductive cycle.","A malaria that presents as a rare febrile complication of repeated malarial attacks characterized by intravascular haemolysis, haemoglobinuria and kidney failure, resulting from destruction of red blood cells caused by heavy parasitization with Plasmodium falciparum or Plasmodium vivax."
laryngitis,laryngeal tuberculosis,False,"A laryngeal disease involving an inflammation of the larynx leading to hoarse voice or a complete loss of voice due to irritation of the vocal cords caused by viral, bacterial or fungal infection, inflammation due to overuse of the vocal cords and excessive coughing, smoking, or alcohol consumption.","A pulmonary tuberculosis causing granulomatous leisons in the larynx resulting from an inflammation caused by mycobacteria leading to hoarseness, dysphagia and odynophagia."
myeloid neoplasm,myelofibrosis,False,"A bone marrow cancer that is formed of any one of the bone marrow cells belonging to the granulocytic (neutrophil, eosinophil, basophil), monocytic/macrophage, erythroid, megakaryocytic and mast cell lineages.",A myeloid neoplasm that is located in the bone marrow which results in bone marrow being replaced by fibrous (scar) tissue.
tuberculosis,tuberculous encephalopathy,False,"A primary bacterial infectious disease that is located in lungs, located in lymph nodes, located in pericardium, located in brain, located in pleura or located in gastrointestinal tract, has material basis in Mycobacterium tuberculosis, which is transmitted by droplets released into the air when an infected person coughs or sneezes.",A tuberculosis that is characterized by cerebral edema sometimes with features similar to acute disseminated encephalomyelitis (ADEM) and may manifest with a variety of symptoms ranging from focal neurological deficits to convulsions and decreased conscious state.
myiasis,ophthalmomyiasis,False,A parasitic ectoparasitic infectious disease that is caused by parasitic dipterous fly larvae (maggots) feeding on the host's necrotic or living tissue.,"A myiasis that involves parasitic infestation of Oestrus ovis larvae in the eye causing severe irritation, edema, and pain."
intestinal benign neoplasm,colorectal adenoma,False,A gastrointestinal system benign neoplasm that is located in the intestine.,An intestinal benign neoplasm that has material basis in epithelial tissue of glandular origin and is located in colon and located in rectum.
peritoneum cancer,peritoneal mesothelioma,False,An organ system cancer that is located in the peritoneum.,A peritoneum cancer that develops from cells of the mesothelium and is located in the peritoneum.
craniosynostosis,Antley-Bixler syndrome,False,A synostosis that results in premature fusion located in skull.,A craniosynostosis that is characterized by radiohumeral synostosis present from the perinatal period.
cystic teratoma,dermoid cyst,False,A benign teratoma that is characterized by the presence of cysts or cystic spaces.,"A cystic teratoma that is composed exclusively of mature tissues derived from two or three germ layers (ectoderm, mesoderm and endoderm)."
bile duct adenocarcinoma,cholangiocarcinoma,False,A bile duct carcinoma that derives from epithelial cells of glandular origin.,A bile duct adenocarcinoma that has material basis in bile duct epithelial cells.
Ewing sarcoma,Askin's tumor,False,"A connective tissue cancer that has material basis in neural crest cells derives from undeveloped, undifferentiated neuroectoderm.",An Ewing sarcoma that arises from the soft tissues of the chest wall that tend to recur locally and not widely disseminated.
connective tissue benign neoplasm,fibroma,False,A musculoskeletal system benign neoplasm that is located in connective tissue.,A connective tissue benign neoplasm composed of fibrous or connective tissues that derives from mesenchymal tissue.
color blindness,achromatopsia,False,"A blindness that is characterized by the inability or decreased ability to see color, or perceive color differences, under normal lighting conditions.","A color blindness that is characterized by a congenital cone color vision disorder, the inability to perceive color and to achieve satisfactory visual acuity at high light levels has material basis in autosomal recessive inheritance."
urinary system disease,CAKUT,False,"A disease of anatomical entity that is located in kidney, ureter, bladder and urethra.",A urinary system disease characterized by structural malformations in the kidney and/or urinary tract containing vesicoureteral reflux.
T cell deficiency,Nezelof syndrome,False,A primary immunodeficiency disease that is characterized by decreased numbers of circulating or functioning T cells.,A T cell deficiency that results from the disfunction or underdevelopment of the thymus.
leukodystrophy,leukoencephalopathy with vanishing white matter,False,A cerebral degeneration characterized by dysfunction of the white matter of the brain.,"A leukodystrophy characterized by variable neurologic features resulting from deficiency in astrocyte maturation, including progressive cerebellar ataxia, spasticity, and cognitive impairment associated with white matter lesions on brain imaging with onset from early infancy to adulthood."
adenofibroma,cystadenofibroma,False,"A cell type benign neoplasm that is composed of glandular and fibrous tissues, with a relatively large proportion of glands.",An ovarian benign neoplasm that is composed of epithelial ovarian tissue.
primary progressive aphasia,Pick's disease,False,"A frontotemporal dementia that characterized by the progressive onset of language impairments, and gradual deterioration of these abilities over time, associated with atrophy of the language network of the brain, including frontal, temporal, and parietal regions of the left hemisphere. It is caused by a loss of tissue (atrophy) in the area of the brain that is responsible for producing language.",A frontotemporal dementia that is characterized by a spectrum of neuropsychiatric symptoms ranging from those that affect the patient's personality to those that cause a decline in cognitive function.
bronchopneumonia,pleuropneumonia,False,"A pneumonia involving inflammation of lungs that begins in the terminal bronchioles, which become clogged with thick mucus that forms consolidated patches in adjacent lobules. It is caused by bacteria and viruses.",A pneumonia accompanied by inflammation of the pleura and accumulation of pus in the pleural space caused by bacteria.
Scheie syndrome,neuroendocrine tumor,False,"A mucopolysaccharidosis characterized by corneal clouding, facial dysmorphism and normal lifespan.",An endocrine gland cancer that has material basis in neuroendocrine cells.
parietal lobe neoplasm,cerebral lymphoma,False,A cerebrum cancer that is located in the parietal lobe.,A cerebrum cancer that affects the lymph cells and derives from the brain.
erythropoietic protoporphyria,islet cell tumor,False,"An acute porphyria characterized by a deficiency in the enzyme ferrochelatase, leading to abnormally high levels of protoporphyrin in the tissue.",A pancreatic cancer that is located in the pancreatic islet cells.
vagina leiomyoma,ampulla of Vater benign neoplasm,False,A vaginal benign neoplasm that is a benign tumor of smooth muscle cells.,A duodenal benign neoplasm that is located in the ampulla of Vater.
gallbladder papillomatosis,biliary papillomatosis,False,A gallbladder benign neoplasm composed of epithelial tissue on papillae of vascularized connective tissue.,A biliary tract benign neoplasm characterized by multiple papillary tumors in the intrahepatic and/or extrahepatic biliary tree.
cheilitis,stomatitis,False,"A lip disease characterized by the inflammation of the lips; which may include the perioral skin, the vermilion border and the labial mucosa.",A mouth disease that is characterized by inflammation of the mouth and lips.
carboxypeptidase N deficiency,epidermolysis bullosa simplex with muscular dystrophy,False,"A plasma protein metabolism disease characterized by low levels of carboxypeptidase N in the serum that may result in episodic angioedema, chronic urticaria, asthma and/or allergic hypersensitivity that has material basis in homozygous or compound heterozygous mutation in the CPN1 gene on chromosome 10q24.2.",An syndrome characterized by early childhood onset of progressive muscular dystrophy and blistering skin changes and that has material basis in homozygous or compound heterozygous mutation in the PLEC gene on chromosome 8q24.
periampullary adenoma,"autoimmune disease of eyes, ear, nose and throat",False,An ampulla of Vater neoplasm that is characterized by glandular dysplastic lesion having pre-malignant potential.,"An autoimmune disease located in eyes, located in ears, located in nose and located in throat."
oophoritis,anovulation,False,An ovarian disease that is characterized by inflammation of the ovary.,An ovarian disease that is characterized by the absence of ovulation.
Stormorken syndrome,spinal muscular atrophy with lower extremity predominant,False,"A blood platelet disease characterized by thrombocytopathy, thrombocytopenia, mild anemia, asplenia, tubular aggregate myopathy, miosis, headache, and ichthyosis. It has material basis in heterozygous mutation in the STM1 gene on chromosome 11p15. It has an autosomal dominant inheritance pattern.","A spinal muscular atrophy that has material basis in autosomal dominant inheritance and is characterized by muscle weakness and wasting in the lower limbs, most affecting the thigh muscles."
cerebral cavernous malformation,brain ischemia,False,A cerebrovascular disease that is characterized by dilated blood-filled capillaries lacking structural support.,An ischemia that is characterized by insufficient blood flow to the brain to meet metabolic demand.
fibular hypoplasia and complex brachydactyly,AGAT deficiency,False,An acromesomelic dysplasia that is characterized by severe reduction or absence of the fibula and complex brachydactyly.,An amino acid metabolic disorder that has material basis in a mutation in the GATM gene resulting in deficiency of arginine:glycine amidinotransferase which then limits creatine synthesis.
teratoma,teratocarcinoma,False,A germ cell and embryonal cancer that is an encapsulated tumor with tissue or organ components resembling normal derivatives of all three germ layers.,"A mixed germ cell tumor that is a mixture of teratoma with embryonal carcinoma, or with choriocarcinoma, or with both."
frontometaphyseal dysplasia,autonomic nervous system disease,False,"An otopalatodigital syndrome spectrum disorder characterized by abnormal ossification and skeletal patterning of the axial and appendicular skeleton, facial dysmorphism, urogenital anomalies, and hearing loss.",A peripheral nervous system disease that is located in the autonomic nervous system.
malignant pheochromocytoma,germ cell and embryonal cancer,False,"An adrenal medulla cancer that arises within the adrenal medulla, releasing epinephrines and norepinephrines hormones.",A germ cell cancer that is derives from a mixture of germs cells and embryonal cells.
carnitine palmitoyltransferase II deficiency,carnitine palmitoyltransferase I deficiency,False,A lipid metabolism disorder characterized by an enzymatic defect that prevents long-chain fatty acids from being transported into the mitochondria.,"A lipid metabolism disorder that is characterized by impaired mitochondrial oxidation of long chain fatty acids in the liver and kidneys resulting in episodes of illness- or fasting-induced hypoketotic hypoglycemia, and has material basis in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the carnitine palmitoyltransferase 1A gene (CPT1A) on chromosome 11q13."
ovary adenocarcinoma,papilloma,False,An ovarian carcinoma that derives from epithelial cells of glandular origin.,A cell type benign neoplam that is composed of epithelial tissue on papillae of vascularized connective tissue.
anal margin carcinoma,labia majora carcinoma,False,An anal carcinoma that has material basis in abnormally proliferating cells derives from epithelial cells and is located in the anal margin (where the canal meets the outside skin at the anus).,A vulva carcinoma that is located in the labia majora.
glycine N-methyltransferase deficiency,ovarian disease,False,"A hypermethioninemia characterized by autosomal recessive inheritance of persistent isolated hypermethioninemia without cystathionine beta-synthase deficiency, tyrosinemia type I, or liver disease that has material basis in homozygous or compound heterozygous mutation in the GNMT gene on chromosome 6p21.",A female reproductive system disease that is located in the ovary.
benign familial infantile epilepsy,vaginal benign neoplasm,False,An infancy electroclinical syndrome that is characterized by afebrile partial complex or generalized tonic-clonic seizures occurring between 3 and 12 months of age with a good response to medication and no neurologic sequelae.,A female reproductive organ benign neoplasm that is located in the vagina.
arterial calcification of infancy,retinal arterial tortuosity,False,"A vascular disease that is characterized by generalized calcification of the arterial internal elastic lamina, leading to rupture of the lamina and occlusive changes in the tunica intima with stenosis and decreased elasticity of the vessel wall.",An artery disease characterized by pronounced tortuosity of second- and third-order retinal arteries with normal first-order arteries and venous system that has material basis in heterozygous mutation in the COL4A1 gene on chromosome 13q34.
Parkinson's disease,autoimmune disease of exocrine system,False,"A synucleinopathy that has material basis in degeneration of the central nervous system that often impairs motor skills, speech, and other functions.",An autoimmune disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the exocrine system.
allergic asthma,berylliosis,False,"An extrinsic asthma that is characterized by symptoms that are triggered by an allergic reaction caused by inhaled allergens such as dust mite allergen, pet dander, pollen and mold. The disease has symptom coughing, has symptom wheezing, has symptom shortness of breath or has symptom rapid breathing, and has symptom chest tightness.",A pneumoconiosis that involves allergic response located in lungs caused by inhalation of beryllium compounds.
multiple sclerosis,neuromyelitis optica,False,A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.,A central nervous system disease characterized by inflammation of the optic nerve (optic neuritis) and inflammation of the spinal cord (myelitis).
hemorrhoid,UV-sensitive syndrome,False,"A pelvic varices that is characterized by swollen, inflamed veins around the anus or lower rectum.",A skin disease characterized by photosensitivity and liver spots (solar lentigines).
congenital central hypoventilation syndrome,hereditary lymphedema IA,False,"An autonomic nervous system disease characterized by reduced responsiveness of the respiratory center to carbon dioxide, diminished pupillary light responses, and other symptoms related to defects in the autonomic nervous system and that has material basis in most commonly heterozygous mutation in the PHOX2B gene on chromosome 4p13 and less frequently mutations in the RET, GDNF, EDN3, BDNF, or ASCL1 genes.",A hereditary lymphedema characterized by autosomal dominant inheritance that has material basis in mutation in the FLT4 gene on chromosome 5q35.
thymoma,thymic carcinoma,False,"A thymus cancer that derives from epithelial cells located in the thymus. The tumor cells in a thymoma look similar to the normal cells of the thymus, grow slowly, and rarely spread beyond the thymus.","A thymus cancer that derives from epithelial cells. The tumor cells in a thymic carcinoma look very different from the normal cells of the thymus, grow more quickly, and have usually spread to other parts of the body when the cancer is found."
petrositis,breast carcinoma in situ,False,An osteomyelitis that has material basis in infection located in petrous part of temporal bone.,An in situ carcinoma that is located in the breast.
hereditary papulotranslucent acrokeratoderma,venous insufficiency,False,"A keratosis of the hands and feet characterized by persistent, asymptomatic, yellowish to white papules and plaques associated with fine-textured scalp hair and an atopic diathesis.",A vein disease that is characterized by impaired flow of blood through the veins.
struma ovarii,luteoma,False,An ovarian benign neoplasm that is composed either exclusively or predominantly of thyroid tissue.,"An ovarian benign neoplasm characterized by solid proliferations of luteinized cells, resulting in a tumor-like ovarian enlargement that regresses during the puerperium."
sinonasal undifferentiated carcinoma,notochordal cancer,False,A nasal cavity carcinoma that arises from the sinonasal tract and that is characterized by the presence of small to medium size malignant cells.,An embryonal cancer and bone cancer and mesenchymal cell neoplasm that is located in the notochord.
apocrine carcinoma,blepharitis,False,An apocrine sweat gland cancer that derives from epithelial cells of glandular origin.,"An eyelid disease that is characterized by often chronic inflammation of the eyelid, generally the part where eyelashes grow."
otomycosis,perichondritis of auricle,False,"An otitis externa which is a disease of the ear produced by the growth of fungi in the external auditory canal. It is characterized by inflammation, pruritus, scaling and severe discomfort. The most common fungi are Aspergillus niger and Candida albicans.","An otitis externa involving infection of the tissue surrounding the cartilage of the earlobe (pinna), ear canal, or both. It may be caused by injury, burns, insect bites, ear piercing, or a boil on the ear. The common bacterial causative agent is Pseudomonas aeruginosa. Symptoms include redness, pain, fever, swelling of the earlobe and pus accumulation between the cartilage and the layer of connective tissue around it."
chronic fungal otitis externa,prion disease,False,A otomycosis which is persistent and long-lasting or recurrent.,"A brain disease that is characterized by brain damage resulting from the abnormal folding, clumping and accumulation of cellular proteins in the brain induced by prion proteins."
cepacia syndrome,nocardiosis,False,"An opportunistic bacterial infectious disease characterized by necrotizing pneumonia, acute respiratory distress syndrome, and bacteremia that has material basis in Burkholderia cepacia complex, which is transmitted by contact transmission, droplet spread transmission, vehicle-borne fomite transmission, and vehicle-borne ingestion transmission.","An opportunistic bacterial infectious disease that results in disseminated infection in immunocompromised hosts, has material basis in Nocardia asteroides. The infection has symptom pneumonia, has symptom cellulitis, has symptom lesions in the brain or meninges, and has symptom ascending regional lymphadenopathy."
pulmonary edema,hyperostosis,False,A respiratory failure that is characterized by the accumulation of fluid in the lung tissues causing disturbance of the gas exchange that may lead to respiratory failure.,A bone remodeling disease that results in an abnormal growth of located in bone.
dermatofibrosarcoma protuberans,fibrosarcoma,False,A fibrosarcoma that is located in the dermis laryer of the skin and that begins as a hard nodule and grows slowly.,A connective tissue cancer that has material basis in fibrous connective tissue and characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells in a storiform pattern.
familial thyroid dyshormonogenesis,hypermethioninemia,False,A congenital hypothyroidism characterized by thyroid hormone deficiency that is present from birth and results from defects in thyroid hormone synthesis.,"An amino acid metabolic disorder that involves an excess of the amino acid methionine, in the blood. This condition can occur when methionine is not broken down properly in the body."
Graves ophthalmopathy,congenital diarrhea,False,"An autoimmune disease of eyes, ear, nose and throat that is characterized by upper eyelid retraction, lid lag, swelling, redness, conjunctivitis, and bulging eyes.",A diarrhea that is characterized by frequent loose or liquid bowel movements where the disease is present from birth.
Ebstein anomaly,infancy electroclinical syndrome,False,A tricuspid valve disease that is a congenital heart defect in which the septal leaflet of the tricuspid valve is displaced towards the apex of the right ventricle of the heart.,An electroclinical syndrome with onset in infancy occurring between birth and one year of age.
